"m","n"
"Module tensorflow.compiler.mlir.quantization.tensorflow.python.integration_test.quantize_model_test",6074
"Module tensorflow.python.ops.array_ops",6039
"Module tensorflow.python.ops.nn_ops",5933
"Module tensorflow.python.feature_column.feature_column_test",5715
"Module tensorflow.python.keras.backend",5472
"Module tensorflow.python.feature_column.feature_column_v2_test",5348
"Module tensorflow.python.ops.math_ops",5342
"Module tensorflow.python.ops.image_ops_impl",5318
"Module tensorflow.tools.ci_build.osx.arm64.tensorflow_metal_plugin_test",5291
"Module tensorflow.python.ops.image_ops_test",5101
"Module tensorflow.python.framework.ops",5010
"Module _pydecimal",4847
"Module tensorflow.python.data.ops.dataset_ops",4555
"Module tensorflow.lite.python.lite_v2_test",4427
"Module python.tests.spmd_test",4275
"Module tensorflow.dtensor.python.tests.spmd_test",4275
"Module tensorflow.python.kernel_tests.control_flow.control_flow_ops_py_test",4016
"Module parallel_for.pfor",3849
"Module tensorflow.python.ops.parallel_for.pfor",3849
"Module tensorflow.python.eager.polymorphic_function.polymorphic_function_test",3838
"Module ragged.dynamic_ragged_shape_test",3832
"Module tensorflow.python.ops.ragged.dynamic_ragged_shape_test",3832
"Module tensorflow.python.feature_column.feature_column_v2",3720
"Module tensorflow.python.kernel_tests.metrics_test",3708
"Module Tkinter.__init__",3674
"Module tkinter.__init__",3674
"Module tensorflow.python.kernel_tests.nn_ops.conv_ops_test",3566
"Module tensorflow.python.ops.metrics_impl",3494
"Module tensorflow.python.framework.test_util",3489
"Module tensorflow.python.distribute.distribute_lib",3475
"Module tensorflow.python.kernel_tests.data_structures.lookup_ops_test",3465
"Module tensorflow.python.ops.sparse_ops",3390
"Module tensorflow.python.keras.metrics",3246
"Module tensorflow.python.keras.layers.convolutional",3112
"Module tensorflow.python.framework.ops_test",3015
"Module tensorflow.lite.python.lite",2913
"Module tensorflow.python.kernel_tests.nn_ops.rnn_cell_test",2891
"Module third_party.xla.xla.python.xla_client_test",2831
"Module python.xla_client_test",2831
"Module tensorflow.python.feature_column.feature_column",2801
"Module ragged.dynamic_ragged_shape",2768
"Module tensorflow.python.ops.ragged.dynamic_ragged_shape",2768
"Module tensorflow.python.saved_model.load_test",2754
"Module ragged.ragged_tensor",2691
"Module tensorflow.python.ops.ragged.ragged_tensor",2691
"Module numpy_ops.tests.np_test",2667
"Module tensorflow.python.ops.numpy_ops.tests.np_test",2667
"Module tensorflow.python.keras.layers.recurrent",2642
"Module tensorflow.python.keras.engine.training_v1",2601
"Module tensorflow.python.keras.engine.training",2558
"Module tensorflow.python.keras.engine.base_layer",2537
"Module html.entities",2494
"Module tensorflow.python.training.saver_test",2433
"Module tensorflow.python.eager.context",2428
"Module tensorflow.python.ops.resource_variable_ops",2415
"Module tensorflow.python.ops.variable_scope",2405
"Module tensorflow.python.keras.callbacks",2403
"Module inspect",2363
"Module tensorflow.python.kernel_tests.nn_ops.pooling_ops_test",2345
"Module tensorflow.python.checkpoint.checkpoint",2302
"Script pydoc",2240
"Module tensorflow.lite.python.lite_test",2229
"Module email._header_value_parser",2226
"Module test.support.__init__",2218
"Module tensorflow.python.ops.data_flow_ops",2212
"Module tensorflow.python.kernel_tests.io_ops.parsing_ops_test",2212
"Module tensorflow.python.ops.lookup_ops",2167
"Module tensorflow.tools.compatibility.tf_upgrade_v2",2134
"Module parallel_for.control_flow_ops_test",2117
"Module tensorflow.python.ops.parallel_for.control_flow_ops_test",2117
"Module doctest",2098
"Module tensorflow.python.ops.check_ops",2075
"Module tensorflow.python.training.input_test",2070
"Module tensorflow.python.ops.nn_impl",2067
