"m","n"
"Module _pydecimal",4847
"Module tensorflow.contrib.metrics.python.ops.metric_ops_test",3838
"Module tkinter.__init__",3674
"Module Tkinter.__init__",3674
"Module tensorflow.python.framework.ops",3627
"Module tensorflow.contrib.keras.python.keras.backend",3100
"Module keras.backend",3100
"Module tensorflow.contrib.layers.python.layers.layers_test",2887
"Module layers.layers_test",2887
"Module tensorflow.python.kernel_tests.metrics_test",2869
"Module tensorflow.python.ops.metrics_impl",2550
"Module html.entities",2494
"Module tensorflow.python.ops.control_flow_ops",2461
"Module keras.engine.topology",2442
"Module tensorflow.contrib.keras.python.keras.engine.topology",2442
"Module inspect",2363
"Module tensorflow.contrib.layers.python.layers.feature_column_ops_test",2326
"Module layers.feature_column_ops_test",2326
"Script pydoc",2240
"Module email._header_value_parser",2226
"Module test.support.__init__",2218
"Module tensorflow.contrib.metrics.python.ops.metric_ops",2121
"Module tensorflow.python.ops.image_ops_test",2098
"Module doctest",2098
"Module tensorflow.python.kernel_tests.control_flow_ops_py_test",2055
"Module layers.layers",2024
"Module tensorflow.contrib.layers.python.layers.layers",2024
"Module urllib.request",2010
"Module tensorflow.python.ops.array_ops",1990
"Module tensorflow.python.ops.math_ops",1982
"Script tarfile",1902
"Module unittest.mock",1859
"Module tensorflow.python.ops.nn_ops",1850
"Module tensorflow.python.training.input_test",1821
"Module tensorflow.contrib.lookup.lookup_ops_test",1821
"Module tensorflow.contrib.rnn.python.kernel_tests.core_rnn_test",1802
"Module tensorflow.contrib.keras.python.keras.engine.training",1799
"Module keras.engine.training",1799
"Module tensorflow.contrib.layers.python.layers.feature_column",1759
"Module layers.feature_column",1759
"Module datetime",1714
"Module tensorflow.contrib.learn.python.learn.estimators.head",1712
"Module tensorflow.python.training.saver_test",1701
"Module tensorflow.python.kernel_tests.cwise_ops_test",1665
"Module http.cookiejar",1660
"Module zipfile",1654
"Module argparse",1653
"Module tensorflow.contrib.keras.python.keras.layers.convolutional",1645
"Module keras.layers.convolutional",1645
"Module tensorflow.contrib.training.python.training.sequence_queueing_state_saver",1639
"Module logging.__init__",1635
"Module difflib",1619
"Module tensorflow.contrib.rnn.python.ops.rnn_cell",1588
"Module tensorflow.python.training.saver",1561
"Module tensorflow.python.ops.sparse_ops",1553
"Module tensorflow.python.ops.data_flow_ops",1488
"Module tensorflow.python.debug.cli.analyzer_cli_test",1484
"Module tensorflow.contrib.lookup.lookup_ops",1460
"Module tensorflow.contrib.learn.python.learn.estimators.head_test",1460
"Module tkinter.tix",1451
"Module tensorflow.contrib.learn.python.learn.estimators.linear_test",1431
"Module locale",1413
"Module tensorflow.python.ops.variable_scope",1405
"Module tensorflow.python.kernel_tests.parsing_ops_test",1375
"Module tensorflow.contrib.learn.python.learn.estimators.dnn_linear_combined_test",1368
"Module tensorflow.python.client.session_test",1368
"Module tensorflow.python.framework.ops_test",1342
"Module tensorflow.python.kernel_tests.pooling_ops_test",1337
"Script pdb",1323
"Module typing",1303
"Module tensorflow.python.framework.op_def_library_test",1301
"Module tkinter.ttk",1295
"Module tensorflow.python.kernel_tests.fifo_queue_test",1283
"Module subprocess",1266
"Module tensorflow.contrib.learn.python.learn.estimators.dnn_test",1265
"Module tensorflow.python.debug.cli.curses_ui_test",1253
"Module tensorflow.python.debug.cli.analyzer_cli",1250
"Module logging.handlers",1242
"Module tensorflow.python.training.input",1240
"Module pickle",1229
"Module tensorflow.python.debug.cli.curses_ui",1222
"Module optparse",1214
"Module tensorflow.python.kernel_tests.padding_fifo_queue_test",1214
"Module tensorflow.python.kernel_tests.conv_ops_test",1211
"Module tensorflow.python.client.session",1193
"Module tensorflow.python.debug.lib.debug_data",1185
"Module unittest.case",1183
"Module tensorflow.contrib.learn.python.learn.estimators.estimator",1167
"Module tensorflow.python.ops.image_ops_impl",1156
"Module tensorflow.python.layers.convolutional",1130
"Module tensorflow.tools.quantization.quantize_graph",1114
"Module tensorflow.python.ops.variables",1111
"Module importlib._bootstrap_external",1103
"Module tensorflow.python.kernel_tests.losses_test",1099
"Module tensorflow.contrib.keras.python.keras.layers.recurrent",1091
"Module keras.layers.recurrent",1091
"Module tensorflow.python.estimator.estimator_test",1085
"Module tensorflow.contrib.rnn.python.kernel_tests.rnn_cell_test",1084
"Module tensorflow.python.debug.lib.session_debug_testlib",1081
"Module tensorflow.python.ops.nn_impl",1076
"Module tensorflow.python.kernel_tests.sets_test",1075
"Module tensorflow.contrib.legacy_seq2seq.python.ops.seq2seq",1064
"Module losses.loss_ops_test",1060
"Module tensorflow.contrib.losses.python.losses.loss_ops_test",1060
"Module tensorflow.tools.docs.parser",1058
"Module tensorflow.python.ops.parsing_ops",1055
"Module tensorflow.contrib.labeled_tensor.python.ops.ops",1051
"Module tensorflow.python.kernel_tests.random_shuffle_queue_test",1048
"Module tensorflow.contrib.learn.python.learn.monitors",1031
"Module collections.__init__",1030
"Module tensorflow.contrib.keras.python.keras.models",1023
"Module keras.models",1023
"Module tensorflow.python.training.monitored_session_test",1021
"Module tensorflow.contrib.framework.python.ops.variables_test",1009
"Module ops.variables_test",1009
"Module threading",1004
"Module tensorflow.python.kernel_tests.tensor_array_ops_test",1000
"Module tensorflow.contrib.learn.python.learn.estimators.dnn_linear_combined",1000
"Module ConfigParser",997
"Module configparser",997
"Module http.server",987
"Module tensorflow.contrib.learn.python.learn.estimators.dynamic_rnn_estimator",972
"Module tensorflow.python.framework.function_test",962
"Script platform",959
"Module tensorflow.python.training.supervisor",951
"Module email.message",948
"Module tensorflow.python.debug.cli.debugger_cli_common",947
"Module http.client",940
"Module shutil",938
"Module ssl",931
"Module keras.preprocessing.image",929
"Module tensorflow.contrib.keras.python.keras.preprocessing.image",929
"Module tensorflow.contrib.distributions.python.ops.distribution",926
"Module tensorflow.contrib.labeled_tensor.python.ops.core",902
"Module tensorflow.contrib.layers.python.layers.feature_column_ops",899
"Module layers.feature_column_ops",899
"Module tensorflow.contrib.learn.python.learn.estimators.estimator_test",888
"Module tensorflow.python.kernel_tests.variable_scope_test",887
"Module sre_parse",884
"Module tensorflow.contrib.rnn.python.ops.core_rnn_cell_impl",882
"Module tensorflow.python.ops.rnn",875
