"m","n"
"Module tensorflow.python.feature_column.feature_column_v2_test",6498
"Module tensorflow.contrib.metrics.python.ops.metric_ops_test",5873
"Module tensorflow.python.feature_column.feature_column_test",5693
"Module tensorflow.python.framework.ops",5358
"Module _pydecimal",4847
"Module tensorflow.python.keras.backend",4788
"Module tensorflow.python.ops.nn_ops",4297
"Module tensorflow.lite.testing.generate_examples_lib",4223
"Module tensorflow.python.ops.array_ops",4116
"Module tensorflow.python.ops.image_ops_test",4074
"Module tensorflow.python.feature_column.feature_column_v2",3976
"Module tensorflow.python.kernel_tests.control_flow_ops_py_test",3820
"Module tensorflow.python.kernel_tests.metrics_test",3709
"Module Tkinter.__init__",3674
"Module tkinter.__init__",3674
"Module tensorflow.python.ops.math_ops",3628
"Module tensorflow.contrib.metrics.python.ops.metric_ops",3524
"Module tensorflow.contrib.layers.python.layers.layers_test",3510
"Module layers.layers_test",3510
"Module tensorflow.python.ops.image_ops_impl",3404
"Module tensorflow.contrib.rnn.python.ops.rnn_cell",3384
"Module tensorflow.python.ops.metrics_impl",3300
"Module tensorflow.python.data.ops.dataset_ops",3207
"Module layers.layers",3013
"Module tensorflow.contrib.layers.python.layers.layers",3013
"Module tensorflow.python.ops.variables",2959
"Module tensorflow.python.keras.engine.training_test",2956
"Module tensorflow.python.ops.control_flow_ops",2892
"Module tensorflow.python.feature_column.feature_column",2748
"Module tensorflow.python.kernel_tests.rnn_cell_test",2734
"Module tensorflow.python.kernel_tests.conv_ops_test",2728
"Module tensorflow.python.framework.ops_test",2709
"Module tensorflow.python.keras.engine.training",2639
"Module tensorflow.python.kernel_tests.lookup_ops_test",2605
"Module tensorflow.python.ops.sparse_ops",2541
"Module tensorflow.python.keras.metrics",2506
"Module html.entities",2494
"Module tensorflow.python.eager.function_test",2493
"Module tensorflow.python.framework.test_util",2484
"Module tensorflow.python.keras.layers.convolutional",2446
"Module layers.feature_column_ops_test",2443
"Module tensorflow.contrib.layers.python.layers.feature_column_ops_test",2443
"Module inspect",2363
"Module tensorflow.python.keras.layers.recurrent",2351
"Module tensorflow.python.training.saver_test",2350
"Module tensorflow.python.ops.variable_scope",2343
"Module tensorflow.contrib.boosted_trees.python.kernel_tests.training_ops_test",2334
"Module parallel_for.pfor",2328
"Module tensorflow.python.ops.parallel_for.pfor",2328
"Module ops.attention_wrapper",2269
"Module tensorflow.contrib.seq2seq.python.ops.attention_wrapper",2269
"Module tensorflow.python.kernel_tests.boosted_trees.prediction_ops_test",2246
"Script pydoc",2240
"Module tensorflow.tools.compatibility.tf_upgrade_v2",2231
"Module email._header_value_parser",2226
"Module tensorflow.contrib.layers.python.layers.feature_column",2223
"Module layers.feature_column",2223
"Module test.support.__init__",2218
"Module tensorflow.python.ops.data_flow_ops",2161
"Module tensorflow.python.eager.function",2125
"Module doctest",2098
"Module tensorflow.python.ops.parsing_ops",2043
"Module urllib.request",2010
"Module tensorflow.python.training.input_test",2002
"Module tensorflow.python.keras.engine.base_layer",1991
"Module tensorflow.tools.compatibility.tf_upgrade_v2_test",1955
"Module tensorflow.python.ops.nn_impl",1937
"Module tensorflow.contrib.rnn.python.kernel_tests.rnn_cell_test",1919
"Script tarfile",1902
"Module ragged.ragged_tensor",1902
"Module tensorflow.python.ops.ragged.ragged_tensor",1902
"Module tensorflow.python.ops.check_ops",1884
"Module tensorflow.python.ops.lookup_ops",1878
"Module unittest.mock",1859
"Module tensorflow.contrib.learn.python.learn.estimators.head",1859
"Module tensorflow.python.distribute.distribute_lib",1853
"Module tensorflow.contrib.cudnn_rnn.python.ops.cudnn_rnn_ops",1812
"Module tensorflow.contrib.boosted_trees.python.training.functions.gbdt_batch_test",1800
"Module tpu.keras_support",1750
"Module tensorflow.contrib.tpu.python.tpu.keras_support",1750
"Module tensorflow.python.kernel_tests.pooling_ops_test",1734
"Module tensorflow.python.training.monitored_session_test",1733
"Module datetime",1714
"Module tensorflow.python.client.session_test",1707
"Module tensorflow.python.kernel_tests.check_ops_test",1699
"Module tensorflow.python.training.tracking.util",1698
"Module tensorflow.python.debug.cli.analyzer_cli_test",1685
"Module tensorflow.python.keras.callbacks",1675
"Module tensorflow.python.ops.resource_variable_ops",1668
"Module http.cookiejar",1660
"Module tensorflow.contrib.learn.python.learn.estimators.head_test",1659
"Module zipfile",1654
"Module argparse",1653
"Module tensorflow.contrib.training.python.training.sequence_queueing_state_saver",1644
"Module logging.__init__",1635
"Module tensorflow.python.keras.backend_test",1627
"Module difflib",1619
"Module tensorflow.contrib.learn.python.learn.estimators.linear_test",1615
"Module python.xla_client_test",1609
"Module tensorflow.compiler.xla.python.xla_client_test",1609
"Module tensorflow.python.keras.engine.training_utils",1601
"Module tensorflow.python.keras.distribute.distribute_strategy_test",1594
"Module tensorflow.python.kernel_tests.parsing_ops_test",1565
"Module tensorflow.tools.compatibility.renames_v2",1555
"Module tensorflow.python.kernel_tests.variable_scope_test",1513
"Module tensorflow.python.training.saver",1478
